episode,proxy_reward,true_reward,avg_angle,avg_position,avg_last_50
131,1122.56,132.0,0.06453,0.8171,1323.53
132,1425.04,169.0,0.06578,0.884,1336.85
133,1514.23,180.0,0.06613,0.8333,1345.75
134,1205.83,151.0,0.07358,0.7067,1335.4
135,1144.18,131.0,0.06051,0.8154,1301.99
136,992.49,126.0,0.07547,0.7038,1312.48
137,868.4,126.0,0.09267,0.6088,1326.84
138,1243.44,152.0,0.0702,0.7365,1329.0
139,282.8,47.0,0.10811,0.0358,1317.08
140,1481.52,166.0,0.05718,0.6648,1300.48
141,1739.58,182.0,0.04613,0.8343,1278.08
142,2629.56,268.0,0.04169,0.8919,1311.26
143,2846.03,318.0,0.05674,0.9616,1351.0
144,2362.82,272.0,0.06133,0.7101,1389.66
145,1709.19,193.0,0.05838,0.6297,1402.38
146,3541.3,373.0,0.04724,0.7346,1462.37
147,3362.78,354.0,0.04715,0.9045,1522.16
148,4071.0,500.0,0.07085,0.4669,1591.43
149,4221.5,451.0,0.04958,0.7839,1672.3
150,2863.99,341.0,0.06636,0.8669,1703.81
151,3832.07,405.0,0.0478,0.7223,1757.91
152,3285.59,373.0,0.05922,0.6808,1805.68
153,4674.48,500.0,0.04977,0.2556,1868.05
154,5234.45,494.0,0.028,0.7777,1939.73
155,4835.23,500.0,0.04416,0.2405,2027.53
156,3058.46,322.0,0.04717,0.9053,2056.61
157,4570.66,500.0,0.0534,0.4428,2128.11
158,5224.62,500.0,0.03057,0.5021,2191.48
159,3708.44,375.0,0.04034,0.7143,2253.47
160,4731.98,481.0,0.04124,0.7083,2299.4
161,3033.28,317.0,0.04594,0.9552,2307.32
162,4276.83,500.0,0.06366,0.661,2341.43
163,5400.59,500.0,0.02442,0.5966,2410.85
164,3185.1,350.0,0.05412,0.7882,2424.9
165,3361.91,345.0,0.04287,0.7919,2477.19
166,2487.13,265.0,0.04914,0.7445,2502.04
167,1933.37,201.0,0.04506,0.7594,2519.67
168,1785.08,196.0,0.05399,0.9548,2522.87
169,2779.09,292.0,0.04683,0.901,2543.25
170,1634.01,176.0,0.05091,0.8217,2543.4
171,2027.89,211.0,0.0452,0.8055,2569.12
172,1473.16,159.0,0.05124,0.6911,2558.83
173,1789.68,195.0,0.05277,0.6082,2563.18
174,1505.28,158.0,0.04666,0.8622,2566.28
175,2928.57,294.0,0.03909,0.6489,2608.48
176,1436.68,155.0,0.05117,0.874,2600.09
177,1457.25,191.0,0.07979,0.9717,2595.78
178,1225.52,139.0,0.05907,0.8272,2599.67
179,1516.75,160.0,0.04749,0.8261,2604.97
180,1697.83,200.0,0.06479,0.7125,2614.38
181,1534.78,163.0,0.04861,0.7451,2622.63
182,1746.36,188.0,0.05082,0.573,2629.05
183,1711.94,184.0,0.05056,0.8333,2633.01
184,1331.63,145.0,0.05266,0.8019,2635.52
185,2148.09,219.0,0.04175,0.7446,2655.6
186,2625.57,257.0,0.03463,0.6953,2688.26
187,801.54,117.0,0.09339,0.7701,2686.93
188,1732.65,188.0,0.05209,0.8075,2696.71
189,2213.06,222.0,0.03895,0.7271,2735.32
190,2332.17,239.0,0.04265,0.5528,2752.33
191,1652.39,179.0,0.05183,0.6887,2750.59
192,1734.07,190.0,0.05366,0.8002,2732.68
193,1549.25,166.0,0.05011,0.7916,2706.74
194,1662.87,184.0,0.05521,0.74,2692.74
195,2439.98,246.0,0.03985,0.6113,2707.36
196,1618.08,190.0,0.06434,0.8456,2668.89
197,2647.2,283.0,0.04968,0.5983,2654.58
198,1785.57,205.0,0.06093,0.8175,2608.87
199,1772.46,200.0,0.05827,0.9197,2559.89
200,1741.35,175.0,0.03927,0.7887,2537.44
201,3078.05,313.0,0.04131,0.7019,2522.36
202,1596.83,188.0,0.0647,1.0193,2488.58
203,2016.63,219.0,0.05223,0.8672,2435.43
204,1973.73,214.0,0.05197,0.8329,2370.21
205,2318.49,245.0,0.04778,0.7758,2319.88
206,2797.21,288.0,0.04343,0.7059,2314.65
207,1923.1,209.0,0.05238,0.8023,2261.7
208,2735.7,272.0,0.0374,0.705,2211.92
209,1372.54,173.0,0.07448,0.8786,2165.21
210,1631.4,170.0,0.04545,0.9776,2103.19
211,1773.76,211.0,0.06623,0.9295,2078.0
212,2575.69,259.0,0.03937,0.7386,2043.98
213,1766.9,179.0,0.04066,0.8405,1971.31
214,1650.95,186.0,0.05803,0.8515,1940.62
215,1250.35,162.0,0.07825,0.6605,1898.39
216,1738.48,199.0,0.06047,0.9285,1883.42
217,2061.38,229.0,0.05584,0.837,1885.98
218,1945.27,226.0,0.06272,0.7325,1889.18
219,1644.88,198.0,0.06796,0.9503,1866.5
220,1531.19,183.0,0.06694,0.8444,1864.44
221,1845.42,200.0,0.0519,0.9113,1860.79
222,1955.89,201.0,0.04318,0.9199,1870.45
223,1300.0,150.0,0.06169,1.0188,1860.65
224,2355.69,237.0,0.03946,0.7257,1877.66
225,2080.16,218.0,0.0464,0.8166,1860.69
226,2685.46,283.0,0.04733,0.8319,1885.67
227,2906.73,276.0,0.02913,0.8462,1914.66
228,2779.34,276.0,0.03718,0.6265,1945.74
229,2389.34,254.0,0.04876,0.9723,1963.19
230,4002.95,422.0,0.04739,0.6737,2009.29
231,3007.47,338.0,0.05765,0.8124,2038.74
