episode,proxy_reward,true_reward,avg_angle,avg_last_50
167,38.84,17.0,0.08566,48.76
168,83.37,42.0,0.06567,48.04
169,37.06,21.0,0.05099,48.22
170,32.41,13.0,0.09952,47.97
171,98.06,41.0,0.09278,49.45
172,41.37,18.0,0.08654,49.56
173,25.16,11.0,0.08584,48.97
174,31.13,13.0,0.09298,48.1
175,32.87,16.0,0.0703,46.92
176,63.11,33.0,0.06084,46.34
177,70.89,33.0,0.07655,46.88
178,67.47,33.0,0.06965,47.58
179,41.49,21.0,0.06506,47.49
180,51.81,19.0,0.11511,47.94
181,57.33,31.0,0.05663,48.56
182,53.98,24.0,0.08329,48.78
183,34.38,17.0,0.06817,48.66
184,40.65,16.0,0.10273,48.79
185,19.85,9.0,0.08039,48.52
186,33.6,13.0,0.10562,48.48
187,210.32,88.0,0.09267,52.14
188,42.77,18.0,0.09174,51.5
189,34.95,16.0,0.07896,51.37
190,41.49,14.0,0.13092,51.53
191,38.35,14.0,0.11595,51.6
192,55.06,23.0,0.09292,51.41
193,29.39,13.0,0.08403,51.24
194,87.44,50.0,0.04992,52.35
195,42.12,20.0,0.07375,52.59
196,69.28,31.0,0.08232,53.34
197,149.72,63.0,0.09177,53.95
198,102.16,60.0,0.04684,55.41
199,46.6,25.0,0.0576,55.62
200,31.44,14.0,0.08307,55.73
201,43.12,23.0,0.05831,55.32
202,40.7,21.0,0.06253,55.2
203,90.96,43.0,0.07435,56.26
204,39.9,17.0,0.08981,56.27
205,38.84,18.0,0.07717,56.45
206,29.03,11.0,0.10928,54.19
207,30.57,12.0,0.10315,53.65
208,37.1,15.0,0.0982,53.77
209,26.22,10.0,0.10813,53.49
210,25.22,10.0,0.10144,52.73
211,26.67,12.0,0.08149,52.02
212,42.22,21.0,0.06738,52.05
213,27.95,13.0,0.07665,52.13
214,32.58,13.0,0.10041,51.26
215,44.04,17.0,0.10605,51.15
216,41.43,23.0,0.05341,51.05
217,25.78,11.0,0.08959,50.79
218,56.95,28.0,0.06894,50.26
219,38.24,19.0,0.06749,50.28
220,37.52,19.0,0.06498,50.39
221,54.14,26.0,0.07216,49.51
222,33.85,14.0,0.09453,49.36
223,29.5,12.0,0.0972,49.44
224,33.77,13.0,0.10654,49.5
225,63.86,22.0,0.12684,50.12
226,43.98,19.0,0.08764,49.73
227,47.6,27.0,0.05088,49.27
228,45.07,24.0,0.05852,48.82
229,36.44,16.0,0.08516,48.72
230,22.45,9.0,0.09963,48.13
231,45.55,23.0,0.06537,47.9
232,46.06,25.0,0.05616,47.74
233,26.91,12.0,0.08281,47.59
234,26.2,10.0,0.10797,47.3
235,36.54,17.0,0.07665,47.63
236,35.34,15.0,0.09038,47.67
237,35.83,14.0,0.10397,44.18
238,38.94,19.0,0.06997,44.1
239,54.72,23.0,0.09195,44.5
240,45.47,20.0,0.08491,44.58
241,26.69,13.0,0.07021,44.34
242,140.29,53.0,0.1098,46.05
243,36.55,15.0,0.09579,46.19
244,22.04,10.0,0.08024,44.88
245,32.06,13.0,0.09775,44.68
246,67.48,35.0,0.06187,44.65
247,29.82,13.0,0.08625,42.25
248,26.93,11.0,0.09656,40.74
249,28.17,12.0,0.08983,40.37
250,31.53,14.0,0.08348,40.38
251,113.39,48.0,0.09081,41.78
252,29.59,12.0,0.09771,41.56
253,30.19,14.0,0.0771,40.34
254,28.25,12.0,0.09027,40.11
255,44.36,16.0,0.11815,40.22
256,20.98,9.0,0.08874,40.06
257,79.52,39.0,0.06927,41.04
258,29.36,13.0,0.0839,40.88
259,65.93,36.0,0.05543,41.68
260,26.37,11.0,0.09315,41.7
261,41.55,20.0,0.07184,42.0
262,35.52,16.0,0.08135,41.87
263,36.74,17.0,0.0774,42.04
264,23.71,10.0,0.09139,41.86
265,140.25,68.0,0.07083,43.79
266,28.51,11.0,0.1061,43.53
267,37.0,16.0,0.0875,43.75
268,26.04,11.0,0.09112,43.14
269,26.03,10.0,0.10688,42.89
270,63.65,38.0,0.045,43.41
271,40.79,20.0,0.0693,43.15
272,41.51,15.0,0.11781,43.3
273,42.38,15.0,0.1217,43.56
274,32.82,13.0,0.10164,43.54
275,26.33,13.0,0.06835,42.79
276,44.69,18.0,0.09885,42.8
277,60.19,29.0,0.0717,43.05
278,58.16,27.0,0.07693,43.32
279,53.91,23.0,0.08959,43.67
280,70.62,26.0,0.11441,44.63
281,39.35,19.0,0.0714,44.5
282,36.63,13.0,0.12117,44.32
283,83.82,38.0,0.08039,45.45
284,47.28,23.0,0.07038,45.88
285,71.33,26.0,0.11623,46.57
286,44.51,20.0,0.08168,46.76
287,33.76,14.0,0.09409,46.71
288,21.68,8.0,0.11402,46.37
289,64.98,28.0,0.08804,46.57
290,28.23,10.0,0.12152,46.23
291,118.54,61.0,0.06288,48.07
292,30.84,12.0,0.10469,45.88
293,27.8,10.0,0.11867,45.7
294,35.5,16.0,0.08125,45.97
295,35.51,16.0,0.08131,46.04
296,42.41,20.0,0.0747,45.54
297,53.89,20.0,0.11296,46.02
298,48.52,24.0,0.06811,46.45
299,36.21,15.0,0.09427,46.61
300,49.33,27.0,0.05513,46.97
301,39.58,22.0,0.05327,45.49
302,36.12,17.0,0.07499,45.62
303,85.92,34.0,0.10181,46.74
304,108.87,40.0,0.11479,48.35
305,40.69,22.0,0.05664,48.28
306,48.33,23.0,0.07343,48.82
307,45.29,22.0,0.07057,48.14
308,35.83,16.0,0.08261,48.27
309,29.91,12.0,0.09951,47.55
310,28.06,13.0,0.07725,47.58
311,25.16,9.0,0.11971,47.25
312,54.75,22.0,0.09924,47.64
313,56.79,27.0,0.07357,48.04
314,85.55,37.0,0.08748,49.28
315,88.83,35.0,0.10254,48.25
316,27.93,14.0,0.06631,48.24
317,50.78,25.0,0.06875,48.51
318,44.47,24.0,0.05687,48.88
319,23.92,9.0,0.11054,48.84
320,72.16,29.0,0.09922,49.01
321,33.2,14.0,0.09145,48.86
322,46.77,17.0,0.11675,48.96
323,30.66,13.0,0.09056,48.73
324,36.49,21.0,0.04917,48.8
325,83.22,48.0,0.04891,49.94
326,40.41,17.0,0.0918,49.85
327,33.43,14.0,0.09253,49.32
328,60.71,22.0,0.11731,49.37
329,65.38,27.0,0.09477,49.6
330,55.36,25.0,0.08095,49.29
331,58.54,30.0,0.06341,49.68
332,33.81,13.0,0.10672,49.62
333,66.7,33.0,0.06808,49.28
334,39.49,16.0,0.09788,49.12
335,48.54,26.0,0.05781,48.67
336,49.68,20.0,0.09892,48.77
337,54.75,24.0,0.08542,49.19
338,76.43,37.0,0.07104,50.29
339,26.37,11.0,0.09316,49.51
340,39.06,19.0,0.0704,49.73
341,35.37,13.0,0.11471,48.07
342,23.37,9.0,0.10647,47.92
343,40.34,19.0,0.07486,48.17
344,70.87,39.0,0.05448,48.88
345,38.01,15.0,0.10227,48.93
346,72.98,39.0,0.05809,49.54
347,62.28,26.0,0.09302,49.71
348,40.65,18.0,0.08389,49.55
349,53.56,25.0,0.07615,49.89
350,127.27,60.0,0.07474,51.45
351,24.21,10.0,0.09475,51.15
352,36.19,14.0,0.10567,51.15
353,24.87,9.0,0.11756,49.93
354,38.53,20.0,0.06177,48.52
355,31.5,16.0,0.0646,48.34
356,22.87,9.0,0.10274,47.83
357,36.73,14.0,0.10824,47.66
358,37.09,21.0,0.05108,47.68
359,74.54,37.0,0.06764,48.57
360,37.56,16.0,0.08983,48.76
361,26.29,10.0,0.10859,48.79
362,33.36,15.0,0.0816,48.36
363,26.41,11.0,0.0934,47.75
364,116.22,53.0,0.07953,48.36
365,32.24,12.0,0.11244,47.23
366,33.69,18.0,0.05812,47.35
367,48.86,27.0,0.05398,47.31
368,22.75,9.0,0.10183,46.87
369,44.27,21.0,0.07387,47.28
370,71.45,29.0,0.09759,47.27
371,67.14,25.0,0.11236,47.95
372,108.96,42.0,0.10629,49.19
373,38.25,17.0,0.08335,49.34
374,57.83,32.0,0.05382,49.77
375,57.3,30.0,0.06067,49.25
376,46.45,20.0,0.08817,49.37
377,86.01,49.0,0.05035,50.42
378,49.79,19.0,0.10804,50.2
379,49.77,28.0,0.05183,49.89
380,192.81,58.0,0.15495,52.64
381,40.28,18.0,0.08251,52.28
382,45.85,19.0,0.09421,52.52
383,20.34,8.0,0.1028,51.59
384,40.77,17.0,0.09321,51.61
385,39.67,20.0,0.06555,51.44
386,30.99,15.0,0.07107,51.06
387,48.46,22.0,0.08018,50.94
388,31.89,17.0,0.0584,50.05
389,41.9,26.0,0.04078,50.36
390,28.71,11.0,0.10734,50.15
391,42.73,17.0,0.10089,50.3
392,40.92,16.0,0.10384,50.65
393,56.57,22.0,0.10477,50.97
