episode,reward,avg_last_50
319,500.0,306.66
320,453.0,305.72
321,412.0,310.02
322,278.0,310.0
323,500.0,313.54
324,500.0,317.26
325,500.0,320.14
326,500.0,324.28
327,500.0,330.74
328,500.0,336.28
329,264.0,338.16
330,402.0,339.34
331,500.0,343.64
332,500.0,349.4
333,500.0,352.94
334,500.0,359.12
335,500.0,365.48
336,500.0,372.4
337,500.0,377.86
338,500.0,384.86
339,500.0,386.72
340,500.0,389.98
341,500.0,396.84
342,500.0,402.74
343,500.0,409.36
344,500.0,414.64
345,500.0,421.18
346,500.0,424.92
347,332.0,421.56
348,500.0,427.74
349,463.0,430.16
350,357.0,434.02
351,500.0,434.02
352,492.0,438.02
353,500.0,443.22
354,401.0,447.62
355,500.0,453.42
