episode,proxy_reward,true_reward,avg_velocity,avg_last_50
168,498.9,231.0,0.5799,338.82
169,467.73,193.0,0.7117,346.01
170,512.27,243.0,0.5541,353.89
171,609.91,249.0,0.7247,364.28
172,447.68,187.0,0.697,371.6
173,467.67,221.0,0.5581,379.11
174,452.49,203.0,0.6145,386.9
175,560.32,229.0,0.7234,396.62
176,422.2,173.0,0.7202,402.83
177,519.36,247.0,0.5513,409.19
178,717.49,379.0,0.4466,419.25
179,562.69,285.0,0.4872,427.0
180,924.51,498.0,0.4282,441.93
181,875.44,488.0,0.397,457.79
182,414.19,192.0,0.5786,462.14
183,876.78,343.0,0.7781,472.26
184,813.82,475.0,0.3567,485.17
185,810.11,428.0,0.4464,494.46
186,763.68,500.0,0.2637,497.08
187,942.39,500.0,0.4424,508.48
188,1010.91,498.0,0.515,516.73
189,165.41,92.0,0.399,511.31
190,817.09,500.0,0.3171,518.6
191,446.52,209.0,0.5682,519.55
192,775.68,500.0,0.2757,527.04
193,972.72,480.0,0.5132,539.28
194,773.89,447.0,0.3657,544.25
195,560.57,345.0,0.3124,546.22
196,784.34,468.0,0.338,553.92
197,214.64,86.0,0.7479,550.27
198,830.41,395.0,0.5511,557.54
199,573.87,292.0,0.4827,560.93
200,631.2,373.0,0.3461,565.69
201,628.34,338.0,0.4295,570.23
202,454.92,181.0,0.7567,567.45
203,250.03,124.0,0.5082,562.47
204,692.46,355.0,0.4753,567.81
205,202.79,101.0,0.5039,561.49
206,581.95,386.0,0.2538,563.77
207,588.1,337.0,0.3726,566.17
208,304.07,142.0,0.5707,563.69
209,752.82,424.0,0.3878,570.41
210,539.87,241.0,0.6201,574.07
211,986.14,500.0,0.4861,589.13
212,377.55,207.0,0.4119,587.91
213,1044.72,453.0,0.6531,600.39
214,716.1,346.0,0.5348,610.32
215,900.65,500.0,0.4006,620.68
216,480.73,239.0,0.5057,621.77
217,499.43,232.0,0.5764,624.35
218,1061.92,494.0,0.5748,635.61
219,451.42,203.0,0.6119,635.29
220,507.05,202.0,0.7551,635.18
221,841.08,432.0,0.4735,639.8
222,744.12,380.0,0.4791,645.73
223,500.39,189.0,0.8238,646.39
224,980.95,445.0,0.6022,656.96
225,457.76,225.0,0.5172,654.91
226,666.32,318.0,0.5477,659.79
227,578.37,344.0,0.3407,660.97
228,433.15,225.0,0.4625,655.28
229,580.53,261.0,0.6121,655.64
230,416.28,225.0,0.4251,645.47
231,869.23,475.0,0.415,645.35
232,482.36,233.0,0.5351,646.71
233,577.19,274.0,0.5533,640.72
234,1104.69,500.0,0.6047,646.54
235,905.68,500.0,0.4057,648.45
236,965.27,408.0,0.6829,652.48
237,869.5,421.0,0.5327,651.02
238,878.86,500.0,0.3789,648.38
239,822.4,500.0,0.3224,661.52
240,1069.91,500.0,0.5699,666.58
241,766.7,500.0,0.2667,672.98
242,1074.2,500.0,0.5742,678.95
243,1044.65,500.0,0.5447,680.39
244,791.89,274.0,0.945,680.75
245,476.04,287.0,0.3293,679.06
246,817.54,500.0,0.3175,679.72
247,1160.5,500.0,0.6605,698.64
248,844.87,334.0,0.7648,698.93
249,818.4,410.0,0.4981,703.82
250,1087.72,500.0,0.5877,712.95
251,807.29,500.0,0.3073,716.53
252,892.82,500.0,0.3928,725.29
253,734.49,500.0,0.2345,734.98
254,756.36,500.0,0.2564,736.26
255,828.04,327.0,0.7661,748.76
256,808.37,500.0,0.3084,753.29
257,855.17,382.0,0.6193,758.63
258,453.2,162.0,0.8988,761.61
259,1010.82,451.0,0.6206,766.77
260,625.25,262.0,0.6932,768.48
261,744.32,309.0,0.7044,763.64
262,383.17,171.0,0.6204,763.76
263,431.81,215.0,0.5042,751.5
264,691.94,376.0,0.4201,751.02
265,544.78,241.0,0.6303,743.9
266,380.62,129.0,0.9753,741.9
267,353.76,183.0,0.4666,738.98
268,392.44,145.0,0.8532,725.59
269,389.97,135.0,0.9443,724.36
270,404.99,134.0,1.0112,722.32
271,389.77,143.0,0.8628,713.3
272,397.99,155.0,0.7838,706.37
273,462.56,182.0,0.7708,705.62
274,372.54,168.0,0.6088,693.45
275,401.04,129.0,1.0544,692.32
276,359.5,132.0,0.8617,686.18
277,373.17,115.0,1.1225,682.07
278,376.79,118.0,1.0966,680.95
279,381.74,140.0,0.8634,676.97
280,398.81,126.0,1.0826,676.62
281,392.29,122.0,1.1078,667.08
282,391.12,132.0,0.9815,665.26
283,381.85,128.0,0.9916,661.35
284,511.09,208.0,0.7286,649.48
285,382.59,142.0,0.8471,639.02
286,855.28,340.0,0.7578,636.82
287,389.83,171.0,0.6398,627.23
288,383.17,121.0,1.0834,617.31
289,412.54,150.0,0.8751,609.11
290,366.34,120.0,1.0264,595.04
